Author,Title,Year,DOI,Link,Type,Venue,Abstract,Source
M. Federer; D. M邦ssig; S. Klaiber; S. Lenk,Application-oriented quantum computing benchmark for an electromobility use case,2022,10.1109/QCE53715.2022.00105,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9951272,Conference Paper,2022 IEEE International Conference on Quantum Computing and Engineering (QCE),"The reduction of CO2 emissions is one of the major challenges in the current century. A game-changer might be quantum computing due to the proposed capabilities. A key field of interest for reducing CO2 emissions is the energy sector being transformed from fossil-based to be based on renewable energies and simultaneously combining electricity, heating, mobility, and manufacturing industries.Here, we study an use case for optimal charging scheduling of battery-electric service vehicles considering the requirements of their tasks, local solar power generation, and their battery capabilities to minimize power grid usage and so CO2 emissions from fossil-based electricity generation.The study compares benchmark results obtained classically with results obtained by the quantum approximate optimization algorithm (QAOA) to show the current capability of gate-based quantum optimization for a real-world use case. We present different formulations of the optimization problem and specific considerations for our use case necessary to yield optimal solutions reproducible with IBM＊s gate-based quantum computers. Here, we used Qiskit＊s built-in QAOA method but also self-made methods to examine the influence of the complexity of the problem formulation (penalty factors, landscape of cost function, etc.) as well as the dependence on parameters of the QAOA method (classical optimizer, result extraction, etc.). To obtain reliable results, we used different physical backends and simulations.Finally, we summarize or results and address future improvements for the used QAOA approach for automated real-world applications.",IEEE
K. Bertels; A. Sarkar; T. Hubregtsen; M. Serrao; A. A. Mouedenne; A. Yadav; A. Krol; I. Ashraf; C. G. Almudever,Quantum Computer Architecture Toward Full-Stack Quantum Accelerators,2020,10.1109/TQE.2020.2981074,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9076341,Journal,IEEE Transactions on Quantum Engineering,"This article presents the definition and implementation of a quantum computer architecture to enable creating a new computational device〞a quantum computer as an accelerator. A key question addressed is what such a quantum computer is and how it relates to the classical processor that controls the entire execution process. In this article, we present explicitly the idea of a quantum accelerator that contains the full stack of the layers of an accelerator. Such a stack starts at the highest level describing the target application of the accelerator. The next layer abstracts the quantum logic outlining the algorithm that is to be executed on the quantum accelerator. In our case, the logic is expressed in the universal quantum-classical hybrid computation language developed in the group, called OpenQL, which visualized the quantum processor as a computational accelerator. The OpenQL compiler translates the program to a common assembly language, called cQASM, which can be executed on a quantum simulator. The cQASM represents the instruction set that can be executed by the microarchitecture implemented in the quantum accelerator. In a subsequent step, the compiler can convert the cQASM to generate the eQASM, which is executable on a particular experimental device incorporating the platform-specific parameters. This way, we are able to distinguish clearly the experimental research toward better qubits, and the industrial and societal applications that need to be developed and executed on a quantum device. The first case offers experimental physicists with a full-stack experimental platform using realistic qubits with decoherence and error-rates, whereas the second case offers perfect qubits to the quantum application developer, where there is neither decoherence nor error-rates. We conclude the article by explicitly presenting three examples of full-stack quantum accelerators, for an experimental superconducting processor, for quantum accelerated genome sequencing and for near-term generic optimization problems based on quantum heuristic approaches. The two later full-stack models are currently being actively researched in our group.",IEEE
W. -L. Wang; S. Hussain; N. V. Rondinelli; M. -H. Tang; S. U. Rehman Khan,Recursive Generation of Multi-Qubits Control Gate to Facilitate the Grover's Quantum Algorithm in Large Scale Database Search,2024,10.1109/QRS-C63300.2024.00108,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10727063,Conference Paper,"2024 IEEE 24th International Conference on Software Quality, Reliability, and Security Companion (QRS-C)","Context: Grover's algorithm is a powerful tool in the realm of quantum computing because it offers exponential speedup over classical linear searching for unstructured / unsorted search problems. However, it is challenging to construct efficient and scalable circuits for a multi-input control gate in the algorithm, particularly with a huge number of qubit inputs. Problem: Traditional circuit construction methods often require manual composition for the multi-input gate from basic quantum gates, which can be time consuming and error prone, thus hindering practical implementation. Moreover, the number of simple gates in the composition grows exponentially with the addition of each qubit. Method: This research provides an approach to recursively generate the oracle using Toffoli gates as the fundamental units to enhance scalability and reusability while maintaining effectiveness. The methodology leverages IBM Qiskit and Quantum Lab to simulate quantum computation to prove the practicality and feasibility. Result: The findings from the experiments between recursively and non-recursively generated circuits suggest that our recursive approach can offer comparable accuracy and computational complexity compared to the non-recursive approach. However, it tends to require a larger number of basic quantum gates due to a lack of circuit optimization. Conclusion: The results showcase the applicability of utilizing recursion as a speedy and economical alternative to generate circuits when implementing the Grover's algorithm. It not only presents potential scalability benefits, but also creates an avenue for further research on test verification and performance improvement to the computing community when running in actual quantum hardware.",IEEE
Z. Liu; S. Li,A quantum krill herd algorithm based chance constrained programming for surfactant flooding,2020,10.1109/CCDC49329.2020.9164783,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9164783,Conference Paper,2020 Chinese Control And Decision Conference (CCDC),"This paper presents a chance constrained programming (CCP) based on quantum krill herd algorithm (QKH) to solve an engineering optimization for surfactant flooding in oil development. First, an optimal control model describing surfactant flooding mechanism is established. In this model, the fluctuant oil price is the uncertainty needs to be addressed, the injection concentration of surfactant is the control variable and the net present value is the objective function. The chance constrained programming (CCP) is adopted to transform the uncertain model into a deterministic nonlinear programming model. Then a quantum krill herd algorithm (QKH) is presented to solve the model. Compared with the standard krill herd algorithm (KH), QKH has a superior global searching ability and computational efficiency owing to the quantum representation. At last, an actual optimization model for surfactant flooding is solved by the proposed method and the optimal injection strategy is obtained.",IEEE
R. Subramanian; S. Ranganathan; V. Ramasamy,"Gateway to Ocean Data Management: Ocean Best Practices, Information and Visualisation for moored ocean observation network",2022,10.1109/OCEANSChennai45887.2022.9775375,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9775375,Conference Paper,OCEANS 2022 - Chennai,"Oceans continuously interact with the overlying atmosphere, which dynamically varies and significantly impacts the weather and climate. The data over the oceans is complex and time series observations are vital. The knowledge we acquire from the data collected will help us to manage in oceans long term. Recent developments in ocean observation platforms and the advancements in sensor technologies have paved the way for modern and reliable deep sea instrumented buoy systems that offer most suitable and dependable platforms for uninterrupted data collection and transmission of the data in real-time to the shore through satellite communication networks. Ocean Observation Systems, an operational programme of National Institute of Ocean Technology, Chennai, under Ministry of Earth Sciences, Govt. of India has been deploying and maintaining moored data buoys in Indian waters since 1997. The data, received in compressed numerical data packets, takes a reasonable amount of time to decipher, infer and uncover some of the potentially valuable information it contains. Hence, validation and analysis of the data for making decisions during natural hazards has become colossal and relatively complicated. The challenge is to develop a rugged mechanism the harnessing information technology to generate the information required for ocean sustenance, which warrants partnering with Information Technology. To modern societies, digital communications and information technologies have become fundamental and referred as ""connected society.""Scientific community expect data to accurately represent the phenomenon that was measured. The data collected over prolonged periods are of immense use for scientists, to carry out scientific analyses, and frame strategic policies. Today, precise electronics and high-performance computers have altered our expectations of scientific data management, much as it has altered the expectations for many other elements of society and we find portentous agreement with improved data management strategies. CORNEA 每 Centre for Ocean Realtime iNformation viEw and Archives is a high-end IT infrastructure built with computational and visual capabilities to bring significant benefits to ocean researchers. Large quantum of data received from buoys contain information about various parameters such as meteorlogical, oceanographic (surface and subsurface). Mining them for predictive analysis and tracking the history of sensors is a challenge. This stresses the need for automated mechanism to collage the information and present it on demand, minimizing the challenges faced retrieving the same through manual means. ADDRESS (ADvanced Data REception and AnalysiS System) is a software tool developed for visualization within the context of data and information, heuristic way of interpretation, analysis, automated quality control, reliable data reception and dissemination using modern software technologies, which are the linchpin to a successful Ocean Observation Programme driven in the Information Technology era. Further, the buoy data is disseminated to the global community through Global Telecommunication Systems (GTS). The data and metadata from Indian buoy programme is acclaimed by the global scientific community. Ocean Best Practices methodology recognized by ""International Oceanographic Data and Information Exchange"" (IODE) of the Intergovernmental Oceanographic Commission (IOC) - UNESCO, is adopted to achieve quality and consistency in observation.Data from Indian buoy programme is also portrayed in OceanOPS (formerly JCOMMOPS), the agency that establishes a common platform, coordinates within and amongst ocean observation communities across the globe. Apart from regional, data from collaborative projects such as OMNI-RAMA are exhibited through interactive webportals with wealth of data and information to the scientific community blending international efforts.The culmination of this paper reveals how technology, confined is standards and best practices deployed, transform the way the ocean data is accessed, utilized, augmented, and transformed into information and knowledge.",IEEE
E. E. Moghaddam; H. Beyranvand; J. A. Salehi,Resource Allocation in Space Division Multiplexed Elastic Optical Networks Secured With Quantum Key Distribution,2021,10.1109/JSAC.2021.3064641,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373587,Journal,IEEE Journal on Selected Areas in Communications,"Elastic Optical Network (EON) is a promising solution to address the high capacity, low latency, and flexibility requirements of the upcoming 5th-generation (5G) networks. Furthermore, Multi-Core Fibers (MCFs) and Space Division Multiplexing (SDM) technique can be utilized to overcome the capacity limitation of the conventional Single Mode Fibers (SMFs). On the other hand, Quantum Key Distribution (QKD) is an effective solution to address the security issues in 5G transport networks. In this paper, we investigate the performance of QKD over elastic optical networks with multi-core fibers and address the resource allocation problem for quantum and classical channels of QKD (QChs and CChs) and conventional data channels (DChs). To do so, we calculate the background noise caused by different noise sources and accordingly calculate the Secret Key Rate (SKR) in quantum channels. Then, we propose an Integer Linear Programming formulation and a heuristic algorithm to allocate network resources (spectrum, core, and links) to QChs, CChs, and DChs, with the objective of maximizing the secret key rate and minimizing the number of utilized frequency slots (FSs). Finally, we evaluate the proposed ILP and heuristic algorithm in terms of SKR and the number of utilized FSs. In our simulations, we consider core and metro topologies, fixed and distance adaptive launch power for classical signals, different fiber specifications, and different assumptions regarding the relative locations of quantum and classical channels in a multi-core fiber.",IEEE
A. Awad; A. Hawash; B. Abdalhaq,A Genetic Algorithm (GA) and Swarm-Based Binary Decision Diagram (BDD) Reordering Optimizer Reinforced With Recent Operators,2023,10.1109/TEVC.2022.3170212,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9762787,Journal,IEEE Transactions on Evolutionary Computation,"The use of binary decision diagrams (BDDs) has proliferated in numerous fields. When a system criterion is formulated in form of a Boolean function, its BDD is constructed. Each node in the BDD is further mapped into another form to be exploited in the system analysis. However, the cost of the resultant mapping form is directly related to the BDD size which can be effectively reduced through applying proper variable reordering followed by applying reduction rules that preserve the fidelity of the BDD in correctly representing the input Boolean function. Although several algorithms have been proposed in the literature to find the optimal order of variables in the BDD, the scalability of such algorithms is a serious barrier when it comes to complex systems with exponential explosion in the possible number of orders in the search space. Furthermore, solely exploring the search space in BDD reordering is not sufficient since better permutations might be obtained with slight tuning of the candidate solutions. Thus, a sufficient degree of equilibrium between exploration and exploitation should be preserved during the evolution of the reordering algorithm. In this article, we propose a BDD optimizer driven by either genetic algorithm (GA) or swarm engines. The proposed GA-based BDD reordering optimizer iteratively processes an essentially large population with a randomized mixing of low destructive crossover/mutation operators. The proposed swarm-based optimizer, on the other hand, maps a vector of real numbers into a permutation to further construct its companion BDD. The generation of the next vector is guided by recent parameter and parameter-less swarm algorithms that are armed with effective mechanisms to simultaneously conduct exploration and exploitation. Experimental results show that our proposed optimizer effectively reduces the resultant BDD size for input Boolean functions with almost linear computational complexity. Furthermore, it has been found that exploiting recent swarm optimizers with spiral movement in BDD reordering problem can outperform GA for large scale Boolean functions. Finally, as a real-world application, our proposed algorithm is applied to reversible logic synthesis to show the achieved reduction in the quantum cost (QC) associated with BDD-based synthesis.",IEEE
Z. Hu; M. Zhou; Y. Ma; J. Wang; Z. Yin; B. D. Gerardot,Entangled Quantum Imaging Method Based on Two-step Adaptive Sampling Optimization,2025,10.1109/JSTQE.2025.3527018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10833681,Article,IEEE Journal of Selected Topics in Quantum Electronics,"In recent years, quantum information technology, as a subversive and strategic technology that has attracted much attention, acquires, transmits, and processes information by means of unique physical phenomena such as quantum entanglement, nonlocality, and non-cloning. Quantum imaging technology achieves non-local imaging of targets by extracting entangled light quantum information with temporal and spatial correlation characteristics. By using the anti-interference and anti-turbulence characteristics of quantum entangled states, quantum imaging technology can break through the physical limits of traditional imaging fields, thereby improving imaging resolution and sensitivity. The latest technological development in quantum imaging has prompted researchers to study high-resolution and fast quantum imaging based on the spatial correlation characteristics of entangled photon pairs. In this circumstance, we propose a novel quantum imaging method based on two-step adaptive sampling optimization and carry out experimental verification. In concrete terms, in order to solve the problem that the efficiency of entangled light quantum imaging is limited by Digital Micromirror Device (DMD) sampling, we select the two-step adaptive sampling optimization algorithm to reduce the influence of DMD scanning on imaging efficiency. At the same time, for the sake of solving the problem that the quality of entangled photon quantum imaging is limited by the accuracy of coincidence counting, we add delay difference calculation in the imaging process and correct the signal photon arrival time pulse sequence to ensure the accuracy of coincidence counting. Finally, we conduct a large number of experiments to evaluate the performance of the two-step adaptive sampling optimization algorithm and verify the superiority of the proposed entangled quantum imaging method practically.",IEEE
W. Qiao; Z. Yang,Solving Large-Scale Function Optimization Problem by Using a New Metaheuristic Algorithm Based on Quantum Dolphin Swarm Algorithm,2019,10.1109/ACCESS.2019.2942169,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8843967,Journal,IEEE Access,"Meta-heuristic algorithm has been a research hotspot in solving the optimal solution of large-scale functions. However, meta-heuristic algorithms are prone to fall into local optimum problems, such as the recently proposed dolphin swarm algorithm (DSA). To solve this problem, in this study, the quantum search algorithm is introduced into DSA. In addition, to test the performance of the proposed quantum dolphin swarm algorithm (QDSA), six commonly used large-scale functions (e.g. Rotated hyper-ellipsoid function) are taken as examples. Furthermore, some advanced algorithms (e.g. whale optimization algorithm (WOA)) are used for comparison. The results show that the ability of QDSA to obtain global optimal solution is obviously improved compared with DSA, and the performance of QDSA is superior to other algorithms considered for comparison. Finally, it can be concluded that such a novel meta-heuristic algorithm may help to improve the problem of solving the optimal solution of large-scale functions.",IEEE
P. Demetriou; C. J. Haupt; K. J. Nixon,A Quantum Variational Approach to Debugging Combinational Logic Circuits,2021,10.1109/ISVLSI51109.2021.00083,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9516796,Conference Paper,2021 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),"The application of a quantum approach to combinational logic circuit debugging for future use in Very Large-Scale Integration system design is presented. Although previous work in this area has sped up debugging solutions through the use of satisfiability solvers, the solutions remain classically intractable for large systems. Additionally, whilst many quantum algorithms have shown promise in solving classically intractable problems, there have been few domain-specific implementations, particularly where hard and soft constraints exist and multiple solutions are required. A Quantum Alternating Operator Ansatz is applied to a reduction of the satisfiability problem into a maximum independent set problem. While the Quantum Alternating Operator Ansatz approach constrains the optimization to feasible solutions, the resulting ansatz is both too large for current Noisy Intermediate-Scale Quantum devices and to simulate using a Hamiltonian formulation with gradient-based optimisers. Therefore, a circuit driven simulation is preferred. A small example of a debugging problem is simulated using the aforementioned approach.",IEEE
H. J. Waring,Distributing Compilation to Enable High Throughput Scalable Quantum Workloads,2024,10.1109/QCE60285.2024.10406,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10821132,Conference Paper,2024 IEEE International Conference on Quantum Computing and Engineering (QCE),"The increasing quality and availability of Quantum Processing Units (QPUs) is fueling a growing interest in quan-tum computing across many technological areas. The resulting increase in demand for QPU resources necessitates Quantum Computing as a Service (QCaaS) providers to support a high throughput of quantum workloads. A major runtime bottleneck in current QCaaS software stacks is the computationally-intensive compilation step which requires significant compute. To address this, Oxford Quantum Circuits has introduced distributed compilation whereby quantum programs are com-piled in parallel and stored until the QPU is available. This has replaced our previous serial compilation approach where each program was compiled immediately prior to execution. From experiments using our production compilers and a simulated backend representing the QPU, we show that distributed com-pilation has resulted in a 78 % reduction in processing time as compared to serial compilation. This demonstrates that there are sizeable performance gains to program throughput attainable through the introduction of distributed compilation into a QCaaS architecture. We posit that the usefulness of this feature will only grow given the increasing complexity of quantum programs and the growing popularity of quantum-classical hybrid algorithms.",IEEE
M. A. Shafique; A. Munir; I. Latif,"Quantum Computing: Circuits, Algorithms, and Applications",2024,10.1109/ACCESS.2024.3362955,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10423012,Journal,IEEE Access,"Quantum computing, a transformative field that emerged from quantum mechanics and computer science, has gained immense attention for its potential to revolutionize computation. This paper aims to address the fundamentals of quantum computing and provide a comprehensive guide for both novices and experts in the field of quantum computing. Beginning with the foundational principles of quantum computing, we introduce readers to the fundamental concepts of qubits, superposition, entanglement, interference, and noise. We explore quantum hardware, quantum gates, and basic quantum circuits. This study offers insight into the current phase of quantum computing, including the noisy intermediate-scale quantum (NISQ) era and its potential for solving real-world problems. Furthermore, we discuss the development of quantum algorithms and their applications, with a focus on famous algorithms like Shor＊s algorithm and Grover＊s algorithm. We also touch upon quantum computing＊s impact on various industries, such as cryptography, optimization, machine learning, and material science. By the end of this paper, readers will have a solid understanding of quantum computing＊s principles, applications, and the steps involved in developing quantum circuits. Our goal is to provide a valuable resource for those eager to embark on their quantum computing journey and for researchers looking to stay updated on this rapidly evolving field.",IEEE
T. Tanimoto; S. Matsuo; S. Kawakami; Y. Tabuchi; M. Hirokawa; K. Inoue,Practical Error Modeling Toward Realistic NISQ Simulation,2020,10.1109/ISVLSI49217.2020.00060,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9155029,Conference Paper,2020 IEEE Computer Society Annual Symposium on VLSI (ISVLSI),"In quantum computing, research and development of devices, architecture, optimization techniques, algorithms, and applications are evolving with eagerness in parallel. To make these work mutually beneficial, practical and accurate quantum computer simulators as system-wide design frameworks are necessary. In this paper, we focus on measurement and initialization errors of qubits. These errors are inevitable because these procedures are interfaces between classical and quantum information processing. We model the quantum non-demolition detection technique as measurement and initialization methods and implement them on Intel-QS, a high-performance quantum simulator. Our case study with quantum Fourier transform on 8 qubits configuration demonstrates the importance of taking these errors into account. That is, post-selection, which improves the initialization fidelity, can enlarge the gap between the theoretical result and incorrect outputs by 3.35 times.",IEEE
W. Xuan; Z. Zhao; L. Fan; Z. Han,Minimizing Delay in Network Function Visualization with Quantum Computing,2021,10.1109/MASS52906.2021.00022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9637726,Conference Paper,2021 IEEE 18th International Conference on Mobile Ad Hoc and Smart Systems (MASS),"Network function virtualization (NFV) is a crucial technology for the 5G network development because it can improve the flexibility of employing hardware and reduce the construction of base stations. There are vast service chains in NFV to meet users＊ requests, which are composed of a sequence of network functions. These virtual network functions (VNFs) are implemented in virtual machines by software and virtual environment. How to deploy VMs to process VNFs of the service chains as soon as possible when users＊ requests are received is very challenging to solve by traditional algorithms on a large scale. Compared with traditional algorithms, quantum computing has better computational performance because of quantum parallelism. We build an integer linear programming model of the VNF scheduling problem with the objective of minimizing delays, and transfer it into the quadratic unconstrained binary optimization (QUBO) model. Our proposed heuristic algorithm employs a quantum annealer to solve the model. Finally, we evaluate the computational results and explore the feasibility of leveraging quantum computing to solve the VNF scheduling problem.",IEEE
E. Chamma; A. McGee; A. Gillmann; I. McNallan; M. Mahmoud,Feasible Applications of Quantum Computing in Varying Fields,2023,10.1109/CSCI62032.2023.00080,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10590379,Conference Paper,2023 International Conference on Computational Science and Computational Intelligence (CSCI),"This paper explores the potential impact of quantum computing in several fields, including medicine, finance, cybersecurity, cryptography, high-performance computing and hacking. Quantum computing has the potential to revolutionize these fields by providing significant advancements in processing power, enabling the development of new algorithms and computing methods that were previously impossible with classical computing. The paper explores the potential risks of quantum computing in the context of hacking, as quantum computers can potentially break through existing security systems and create new threats to privacy and security. Quantum computing has the potential to break through current encryption methods and develop new, more secure encryption techniques. High-performance computing can benefit from quantum computing through faster simulations and optimization of complex systems. In the field of medicine, quantum computing can be used to accelerate drug discovery and personalize medicine by simulating molecular interactions at the atomic level. Finally, in finance, quantum computing can be utilized for portfolio optimization, risk management, and algorithmic trading. This paper concludes that quantum computing has immense potential for improving various fields, but it is important to consider the associated risks and challenges. Moreover, there is a need for further research and development in areas such as post-quantum cryptography, algorithm development and cybersecurity. The potential of quantum computing and its intersection with other technologies highlight the long path towards classical computing's maturation.",IEEE
J. M. Rivas-Moscoso; A. Melgar; L. Pot足; K. Krilakis; L. Velasco; S. Bahrani; M. S. Moreolo; I. T. Monroy; P. Nguyen; M. Ruiz; D. K. Syvridis; A. Mandilara; A. Pagano; J. Morales; A. Pastor; R. Nejabati; R. Wang; P. N. Goki; A. S芍nchez-Maci芍n; S. Civelli; S. Rommel; C. R. Garc赤a; M. Iqbal; R. Oliveira; J. C. Hern芍ndez-Hern芍ndez; D. Larrabeiti; J. Folgueira,"A Security Plane Architecture for Ultra-Low-Energy, High-Capacity Optical Transport Networks",2024,10.1109/QCNC62729.2024.00044,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10628339,Conference Paper,"2024 International Conference on Quantum Communications, Networking, and Computing (QCNC)","The evolution toward agile, ultra-low-energy, high-capacity optical transport networks can benefit from solutions incorporating multi-band, multi-fiber, and point-to-multipoint (P2MP)/sliceable high-capacity transport technologies carefully designed to simplify network hierarchy and minimize optical-electrical-optical (OED) conversions. To guarantee quantum-secure communications, these networks require a thorough reassessment of their security plane architecture, acting as a transversal plane to the data and control planes. In this paper, we propose a programmable Quantum Key Distribution (QKD) network built upon multi-protocol QKD systems, including entangled QKD for P2MP secure access/metro scenarios, Quantum Random Key Generation (QRNG) modules as alternative entropy sources for links where QKD system deployment is not economically viable, and hybrid classic/QKD/Post-Quantum Cryptography (PQC) primitives for greater flexibility and backward compatibility. Authentication services are performed through physically-unclonable-function (PUF) certification authorities, particularly implementing strong Rayleigh-backscattering-pattern or speckle-pattern-based optical Physically Unclonable Functions (OP-UFs). These security technologies leverage on agnostic key management system (KMS) and quantum digital twin (QDT) assisted performance optimization, e.g. for artificial intelligence (AI)-based State of Polarization (SOP) compensation. Key relay between border nodes is realized by means of a combination of a centralized PUF and a procedure to securely exchange keys between KMSs based on ETSI-014 and PQC. The KMS can feed keys to encryptors implemented at the different data-plane layers, but the proposed architecture favors encryption relying on physical-layer security techniques to align with the above design principle aimed at a flatter network and fewer OEO conversions. Examples of this are Light Path SECurity (LPSec) techniques, consisting of two nested physical ciphers ensuring a high-security level, and all-optical steganography. Coexistence of classical and quantum signals is generally feasible in the access and metro segments, whereas in the backbone segment it needs to be evaluated on a case-by-case basis.",IEEE
J. Giraldo; J. Ossorio; N. M. Villegas; G. Tamura; U. Stege,QPLEX: Realizing the Integration of Quantum Computing into Combinatorial Optimization Software,2023,10.1109/QCE57702.2023.00118,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10313812,Conference Paper,2023 IEEE International Conference on Quantum Computing and Engineering (QCE),"Quantum computing has the potential to surpass the capabilities of current classical computers when solving complex problems. Combinatorial optimization has emerged as one of the key target areas for quantum computers as problems found in this field play a critical role in many different industrial application sectors (e.g., enhancing manufacturing operations or improving decision processes). Currently, there are different types of high-performance optimization software (e.g., ILOG CPLEX and Gurobi) that support engineers and scientists in solving optimization problems using classical computers. In order to utilize quantum resources, users require domain-specific knowledge of quantum algorithms, SDKs and libraries, which can be a limiting factor for any practitioner who wants to integrate this technology into their workflows. Our goal is to add software infrastructure to a classical optimization package so that application developers can interface with quantum platforms readily when setting up their workflows. This paper presents a tool for the seamless utilization of quantum resources through a classical interface. Our approach consists of a Python library extension that provides a backend to facilitate access to multiple quantum providers. Our pipeline enables optimization software developers to experiment with quantum resources selectively and assess performance improvements of hybrid quantum-classical optimization solutions.",IEEE
T. Schmale; B. Temesi; N. Trittschanke; N. Pulido-Mateo; I. Elenskiy; L. Krinner; T. Dubielzig; C. Ospelkaus; H. Weimer; D. Borcherding,Real-time hybrid quantum-classical computations for trapped ions with Python control-flow,2023,10.1109/QSW59989.2023.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10234276,Conference Paper,2023 IEEE International Conference on Quantum Software (QSW),"In recent years, the number of hybrid algorithms that combine quantum and classical computations has been continuously increasing. These two approaches to computing can mutually enhance each others＊ performances thus bringing the promise of more advanced algorithms that can outmatch their pure counterparts. In order to accommodate this new class of codes, a proper environment has to be created, which enables the interplay between the quantum and classical hardware.For many of these hybrid processes the coherence time of the quantum computer arises as a natural time constraint, making it crucial to minimize the classical overhead. For ion-trap quantum computers however, this is a much less limiting factor than with superconducting technologies, since the relevant timescale is on the order of seconds instead of microseconds. In fact, we show that the operating time-scales of trapped-ion quantum computers are compatible with the execution speed of the Python programming language, enabling us to develop an interpreted scheme for real-time control of quantum computations. In particular, compilation of all instructions in advance is not necessary, unlike with superconducting qubits. This keeps the implementation of hybrid algorithms simple and also lets users benefit from the rich environment of existing Python libraries.In order to show that this approach of interpreted quantum-classical computations (IQCC) is feasible, we bring real-world examples and evaluate them in realistic benchmarks.",IEEE
X. Yan; R. Ma,Research on Fault Prediction Method of Analog Circuits Based on DCQGA-SVR,2019,10.1109/ICICM48536.2019.8977201,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8977201,Conference Paper,2019 IEEE 4th International Conference on Integrated Circuits and Microsystems (ICICM),"Aiming at the shortcomings of analog circuit fault prediction technology, the DCQGA-SVR analog circuit fault prediction method is proposed. Firstly, the failure mechanism of electrolytic capacitor and power MOSFET in analog circuit is analyzed. The fault parameters that can be used to reflect circuit fault, map electrolytic capacitor and power MOSFET are researched. The average output power is extracted as the characteristic parameter of circuit fault. Secondly, the double-chain quantum genetic algorithm is used to optimize the support vector machine regression algorithm to predict the fault feature parameters, and then the fault prediction model is established. Finally, the Boost circuit is used as the simulation test circuit, and compared with the traditional QGA-SVR algorithm and LS-SVM algorithm. The results show that the proposed prediction method has small mean square error and can effectively predict the fault.",IEEE
D. Namakshenas; A. Yazdinejad; A. Dehghantanha; G. Srivastava,Federated Quantum-Based Privacy-Preserving Threat Detection Model for Consumer Internet of Things,2024,10.1109/TCE.2024.3377550,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10472634,Journal,IEEE Transactions on Consumer Electronics,"The Internet of Things (IoT) has significantly impacted the evolution of consumer-oriented smart environments, primarily due to its capacity for transformative device-to-device communication. While this capability enhances user convenience and experience in the Consumer IoT sector, it also generates vast amounts of data. While beneficial for consumer insight and electronic optimization, this data is vulnerable to security breaches. We focus on Machine Learning-based threat detection systems to address these challenges within Consumer IoT. While effective in recognizing threats, these systems often overlook crucial privacy considerations, a critical aspect in the realm of consumer devices. To counter this, Federated Learning (FL) emerges as a promising solution for maintaining data privacy in Consumer IoT. However, FL faces its own challenges, especially when dealing with malicious clients. This paper addresses two primary challenges in Consumer IoT threat detection. First, we tackle an unaddressed issue in FL: the rigorous validation of its clients. The advent of quantum computing could render traditional validation techniques obsolete. We introduce a quantum-centric registration and authentication strategy to overcome this, ensuring stringent client validation in an FL framework. The second challenge involves protecting clients＊ model weights within FL. We propose the integration of Additive Homomorphic Encryption into our model, offering a robust solution that secures the privacy of FL participants without compromising on computational efficiency. Our empirical results underscore the efficacy of our approach, achieving an average accuracy of 94.93% on the N-baIoT dataset and 91.93% on the Edge-IIoTset dataset, showcasing consistent and robust performance across diverse client configurations. This approach can potentially significantly improve the security and privacy landscape of Consumer IoT.",IEEE
